id,file,normed,cat,word,wordcat,inflected_prop,conc_cat,main,Perceptualstrength,Exclusivity,Auditory,Haptic,Visual,SD_Auditory,SD_Haptic,SD_Visual,freq_lg10CD_SUBTLEXNL,freq_lg10WF_SUBTLEXNL,freq_CELEX_lem,inflected_adj_freq_lg10CD_SUBTLEXNL,AoA_Brysbaertetal2014,concrete_Brysbaertetal2014,known_Brysbaertetal2014,letters,phonemes_DUTCHPOND,orth_neighbours_DUTCHPOND,phon_neighbours_DUTCHPOND,a1,h1,v1,a2,h2,v2,a3,h3,v3,a4,h4,v4,a5,h5,v5,a6,h6,v6,a7,h7,v7,a8,h8,v8,a9,h9,v9,a10,h10,v10,English_Word_Lynott_Connell_2009_2013,English_Main_Lynott_Connell_2009_2013,English_Perceptualstrength_Lynott_Connell_2009_2013,English_Exclusivity_Lynott_Connell_2009_2013,English_Auditory_Lynott_Connell_2009_2013,English_Haptic_Lynott_Connell_2009_2013,English_Visual_Lynott_Connell_2009_2013,English_Letters_Lynott_Connell_2009_2013
40,3,Dut_Eng,Concept,behoefte,noun,NA,de,Haptic,1.889,0.089,1.444,1.889,1.667,1.667,2.205,1.803,2.78,2.85,2.207,NA,10.61,1.8,100,8,7,3,3,5,5,5,2,1,2,0,5,0,2,4,0,0,0,0,2,2,3,0,0,0,2,0,2,0,0,3,NA,NA,NA,want,Visual,2,0.121,2,1.941,2.882,4
42,2,Dut_Eng,Concept,beker,noun,NA,de,Visual,4.889,0.472,0.222,4.778,4.889,0.441,0.441,0.333,2.34,2.59,1.176,NA,4.89,4.73,100,5,5,8,8,0,5,5,0,5,5,0,4,4,1,5,5,0,5,5,1,4,5,0,5,5,0,5,5,0,5,5,NA,NA,NA,cup,Visual,3.941,0.273,1.176,3.941,4.235,3
43,2,Dut_Eng,Concept,belading,noun,NA,de,Visual,2.25,0.256,0.875,2.25,2.25,1.356,2.188,1.832,NA,NA,NA,NA,NA,NA,NA,8,NA,0,0,NA,NA,NA,0,0,0,3,5,2,3,4,3,0,0,0,1,1,5,0,4,4,0,4,1,0,0,3,NA,NA,NA,load,Visual,2,0.362,0.824,2,2.941,4
45,1,Dut_Eng,Concept,belasting,noun,NA,de,Visual,3,0.196,1.714,1.857,3,1.496,1.952,1.826,2.56,2.69,1.568,NA,10.59,2.2,100,9,8,0,0,2,2,3,3,3,2,2,3,5,1,0,4,0,0,0,4,5,5,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,tax,Visual,1.412,0.606,1.412,0.882,3.529,3
46,1,Dut_Eng,Concept,beneden,adv,NA,de,Visual,3,0.531,1,0.571,3,1.155,1.134,1.633,3.58,3.91,2.179,NA,5.78,3.07,100,7,7,3,3,3,1,3,2,3,4,1,0,5,1,0,4,0,0,0,0,0,2,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,down,Visual,1.5,0.537,1.188,1.5,3.188,4
48,3,Dutch,Concept,besmetting,noun,NA,de,Haptic,2.222,0.154,2.222,2.222,1.333,2.224,2.333,1.803,1.93,2.14,0.477,NA,9.39,2.6,100,10,8,0,0,5,5,5,0,3,2,5,5,0,4,0,0,0,0,0,3,5,3,3,0,0,0,2,0,0,0,2,NA,NA,NA,contagion,NA, ,NA,NA,NA,NA,9
51,1,Dut_Eng,Concept,beurs,noun,NA,de,Visual,2,0.051,1.714,1.857,2,1.704,1.864,2.082,2.61,2.8,1,NA,10.9,3.07,100,5,4,1,3,4,1,3,3,3,2,2,5,5,3,3,4,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,fair,Visual,1.563,0.484,1.563,1.059,2.875,4
52,1,Dut_Eng,Concept,beurt,noun,NA,de,Visual,2,0.219,1.571,1,2,1.272,1.732,1.915,3.15,3.26,1.833,NA,6.05,2.2,100,5,4,4,10,3,3,4,1,4,1,2,0,4,3,0,4,0,0,0,0,0,0,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,turn,Visual,1.941,0.496,1.941,1.824,3.882,4
57,1,Dut_Eng,Concept,bibliotheek,noun,NA,de,Visual,4,0.177,2.429,2.429,4,1.512,1.618,1.155,2.75,2.94,1.398,NA,7.22,4.07,100,11,9,0,0,3,3,4,2,3,5,5,5,5,3,3,3,2,0,5,0,1,2,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,library,Visual,2.941,0.332,2.941,2.647,4.529,7
63,2,Dut_Eng,Concept,blik,noun,NA,de,Visual,4.222,0.448,0.889,2.333,4.222,1.691,1.936,1.394,3.06,3.2,2.308,NA,7.01,4.4,100,4,4,10,9,0,4,5,5,5,5,2,2,3,0,4,4,0,0,5,1,1,5,0,4,5,0,1,1,0,0,5,NA,NA,NA,look,Visual,0.941,0.678,0.529,0.941,4.765,4
68,3,Dut_Eng,Concept,bocht,noun,NA,de,Visual,4.556,0.531,0.778,1.778,4.556,1.202,1.716,0.726,2.39,2.56,1.447,NA,6.28,4.67,100,5,4,5,14,0,0,5,0,3,5,0,2,5,2,5,5,0,0,5,2,3,5,0,0,3,0,2,4,3,1,4,NA,NA,NA,curve,Visual,3.941,0.514,0.118,3.941,4.294,5
69,1,Dut_Eng,Concept,boerderij,noun,NA,de,Visual,3.714,0.194,3.143,2,3.714,2.193,2.082,1.799,2.77,3.11,1.58,NA,5.45,4.2,100,9,7,0,0,5,5,5,4,2,3,5,0,5,4,3,4,0,0,5,0,0,0,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,farm,Visual,3.313,0.253,3.313,2.75,4.235,4
70,1,Dut_Eng,Concept,boete,noun,NA,de,Visual,3.143,0.31,1.571,1.286,3.143,1.272,1.38,1.773,2.47,2.59,0.954,NA,7.96,2.87,100,5,4,8,7,2,2,3,1,1,2,3,3,5,3,0,4,0,0,5,0,0,0,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,fine,Visual,2,0.413,1.706,2,3.824,4
73,3,Dut_Eng,Concept,boosheid,noun,NA,de,Visual,4.111,0.31,4,1.222,4.111,1.118,1.302,1.269,2.03,2.1,0.954,NA,7.34,2.67,100,8,6,0,0,5,0,5,3,2,4,5,0,5,3,2,1,4,1,5,5,3,5,2,0,4,4,3,4,5,0,4,NA,NA,NA,anger,Visual,3.706,0.412,3.706,1.412,4.118,5
77,3,Dut_Eng,Concept,bouw,noun,NA,de,Visual,4,0.333,2.667,1.333,4,2,1.803,1.118,2.63,2.73,1.322,NA,6.31,3.6,100,4,2,8,30,5,0,5,2,0,3,0,0,5,1,3,2,5,0,5,0,0,5,4,1,3,4,4,4,3,4,4,NA,NA,NA,construction,Visual,2.941,0.388,2.941,2.059,4,12
